x,y,z
7.651195,0.205289,-1.886649
7.656661,0.206568,-1.896578
7.255558,0.014716,-1.764365
7.260199,0.025875,-1.735116
7.252109,0.032193,-1.738687
7.270473,0.150928,-2.089629
7.207093,0.126770,-1.953720
7.262659,0.154234,-2.086854
7.276841,0.150200,-2.096262
7.517774,0.031918,-2.145374
7.520553,0.032606,-2.147221
7.544471,0.049376,-2.155946
7.550052,0.042916,-2.148767
7.395245,0.283152,-1.665209
7.542586,0.254021,-1.791375
7.409048,0.320440,-1.766068
7.255492,0.159230,-2.088683
7.280054,0.152245,-2.104977
7.404128,0.269752,-1.649747
7.380263,0.252183,-1.639819
7.388353,0.245866,-1.636248
7.668972,0.287382,-2.032719
7.678213,0.262918,-2.049894
7.672646,0.269401,-2.057063
7.244112,0.028026,-1.779144
7.237595,0.049070,-1.757429
7.235402,0.054712,-1.767140
7.199255,0.148966,-1.930014
7.196780,0.154706,-1.939578
7.205490,0.128317,-1.952219
7.250892,0.164580,-2.094623
7.279254,0.156513,-2.113437
7.259673,0.170164,-2.118431
7.231260,0.190694,-2.127283
7.267487,0.166860,-2.121206
7.274627,0.161883,-2.119390
7.420009,0.407622,-1.974266
7.412194,0.410928,-1.971491
7.356629,0.383464,-1.838357
7.426376,0.406894,-1.980899
7.667310,0.288612,-2.030011
7.250091,0.168849,-2.103085
7.253232,0.170866,-2.111645
7.273802,0.160706,-2.089263
7.267668,0.163300,-2.087085
7.269563,0.168255,-2.100567
7.278800,0.160134,-2.094469
7.223269,0.224009,-2.128133
7.230972,0.223107,-2.136151
7.230202,0.193509,-2.128887
7.392681,0.283061,-1.664526
7.363556,0.274703,-1.668272
7.365750,0.269061,-1.658561
7.294913,0.219193,-2.129442
7.291236,0.222483,-2.125057
7.294548,0.223757,-2.124922
7.395611,0.392051,-2.051756
7.390421,0.388334,-2.050958
7.389577,0.391295,-2.049190
7.405028,0.415924,-1.973320
7.429589,0.408939,-1.989614
7.354303,0.299107,-1.798339
7.354645,0.294751,-1.796218
7.357865,0.297053,-1.791260
7.255962,0.130294,-1.874206
7.257103,0.124085,-1.868995
7.258725,0.130095,-1.870217
7.262043,0.167223,-2.088521
7.281322,0.161739,-2.101309
7.351429,0.444011,-2.029260
7.378621,0.448286,-2.014386
7.359147,0.443132,-2.037268
7.409209,0.426858,-2.003068
7.417022,0.423553,-2.005843
7.380795,0.447388,-2.011920
7.424163,0.418577,-2.004027
7.428790,0.413207,-1.998074
7.327411,0.368960,-1.831144
7.354053,0.383340,-1.837607
7.324936,0.374700,-1.840709
7.400428,0.421274,-1.979260
7.258432,0.171421,-2.093183
7.280694,0.165089,-2.107950
7.265324,0.175805,-2.111870
7.271457,0.173210,-2.114046
7.277083,0.169288,-2.112612
7.402768,0.427560,-1.996282
7.399627,0.425543,-1.987722
7.414357,0.401983,-1.980829
7.410118,0.409533,-1.992132
7.408223,0.404578,-1.978651
7.419354,0.401412,-1.986035
7.257803,0.174772,-2.099824
7.260327,0.176376,-2.106664
